shipment_number,shipment_leg,dispatch_time,arrival_time,sender_partner_code,receiver_partner_code,origin_facility_code,destination_facility_code,carrier_partner_code,item_category,declared_quantity,declared_unit,temperature_control_class,authorization_class,declared_purpose,shipment_status
SHP-2022-00033,1,2022-10-02T05:00:00,2022-10-04T21:00:00,BP-30033,BP-30056,FCL-1013,FCL-1019,BP-30055,other,16,unit,ambient,ordinary,scheduled stock transfer,returned
SHP-2022-00034,1,2022-10-04T17:00:00,2022-10-06T19:00:00,BP-30070,BP-30077,FCL-1019,FCL-1007,BP-30060,transport_service,1,service,ambient,ordinary,customer distribution,delivered
SHP-2022-00035,1,2022-10-05T10:00:00,2022-10-05T20:00:00,BP-30028,BP-30031,FCL-1020,FCL-1023,BP-30047,cold_storage_equipment,3,unit,ambient,ordinary,facility replenishment,delivered
SHP-2022-00036,1,2022-10-07T08:00:00,2022-10-09T02:00:00,BP-30053,BP-30004,FCL-1030,FCL-1029,BP-30055,consulting_service,1,service,ambient,ordinary,field programme support,delivered
SHP-2022-00037,1,2022-10-07T16:00:00,2022-10-08T17:00:00,BP-30046,BP-30078,FCL-1010,FCL-1011,BP-30042,medical_consumables,22,case,2-8C,ordinary,field programme support,delivered
SHP-2022-00038,1,2022-10-11T09:00:00,2022-10-12T20:00:00,BP-30078,BP-30050,FCL-1011,FCL-1028,BP-30060,laboratory_material,32,pack,ambient,ordinary,agricultural distribution,delivered
SHP-2022-00039,1,2022-10-12T08:00:00,2022-10-15T17:00:00,BP-30049,BP-30078,FCL-1002,FCL-1011,BP-30042,monitoring_equipment,8,kit,ambient,ordinary,facility replenishment,delivered
SHP-2022-00040,1,2022-10-12T10:00:00,2022-10-12T21:00:00,BP-30063,BP-30033,FCL-1025,FCL-1013,BP-30020,communication_service,1,service,ambient,ordinary,laboratory delivery,delivered
SHP-2022-00041,1,2022-10-12T15:00:00,2022-10-13T23:00:00,BP-30009,BP-30078,FCL-1010,FCL-1011,BP-30015,consulting_service,1,service,ambient,ordinary,facility replenishment,delivered
SHP-2022-00042,1,2022-10-12T18:00:00,,BP-30074,BP-30064,FCL-1015,FCL-1010,BP-30025,monitoring_equipment,25,kit,ambient,ordinary,customer distribution,in_transit
SHP-2022-00043,1,2022-10-13T10:00:00,2022-10-14T06:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30031,monitoring_equipment,29,kit,ambient,ordinary,customer distribution,delayed
SHP-2022-00044,1,2022-10-13T10:00:00,2022-10-16T07:00:00,BP-30016,BP-30072,FCL-1030,FCL-1024,BP-30060,medical_equipment,24,unit,ambient,restricted,field programme support,delivered
SHP-2022-00045,1,2022-10-13T12:00:00,2022-10-16T09:00:00,BP-30054,BP-30063,FCL-1007,FCL-1025,BP-30055,legal_service,1,service,ambient,restricted,field programme support,delivered
SHP-2022-00046,1,2022-10-14T07:00:00,2022-10-14T22:00:00,BP-30060,BP-30052,FCL-1009,FCL-1011,BP-30060,medical_equipment,14,unit,ambient,emergency,customer distribution,delivered
SHP-2022-00047,1,2022-10-15T05:00:00,2022-10-17T06:00:00,BP-30077,BP-30047,FCL-1007,FCL-1016,BP-30078,laboratory_material,5,pack,ambient,ordinary,agricultural distribution,delivered
SHP-2022-00048,1,2022-10-15T09:00:00,2022-10-16T08:00:00,BP-30024,BP-30006,FCL-1016,FCL-1019,BP-30031,legal_service,1,service,ambient,expedited,scheduled stock transfer,delivered
SHP-2022-00049,1,2022-10-15T12:00:00,2022-10-19T08:00:00,BP-30009,BP-30030,FCL-1010,FCL-1018,BP-30031,transport_service,1,service,ambient,ordinary,laboratory delivery,delivered
SHP-2022-00050,1,2022-10-17T05:00:00,,BP-30046,BP-30073,FCL-1010,FCL-1019,BP-30042,other,25,unit,ambient,ordinary,field programme support,in_transit
SHP-2022-00051,1,2022-10-17T07:00:00,2022-10-19T05:00:00,BP-30012,BP-30029,FCL-1020,FCL-1004,BP-30047,agricultural_product,6,pallet,ambient,expedited,scheduled stock transfer,delivered
SHP-2022-00052,1,2022-10-17T08:00:00,2022-10-19T16:00:00,BP-30010,BP-30055,FCL-1016,FCL-1010,BP-30025,research_contract,1,contract,ambient,ordinary,facility replenishment,delivered
SHP-2022-00053,1,2022-10-18T12:00:00,2022-10-22T09:00:00,BP-30073,BP-30066,FCL-1019,FCL-1003,BP-30047,agricultural_product,30,pallet,ambient,ordinary,field programme support,delivered
SHP-2022-00054,1,2022-10-19T16:00:00,2022-10-20T13:00:00,BP-30027,BP-30009,FCL-1021,FCL-1010,BP-30047,agricultural_product,3,pallet,ambient,ordinary,field programme support,delivered
SHP-2022-00055,1,2022-10-22T09:00:00,2022-10-22T19:00:00,BP-30033,BP-30052,FCL-1013,FCL-1011,BP-30055,laboratory_material,36,pack,ambient,expedited,facility replenishment,delivered
SHP-2022-00056,1,2022-10-22T11:00:00,2022-10-25T19:00:00,BP-30061,BP-30068,FCL-1030,FCL-1020,BP-30055,protective_equipment,77,case,ambient,restricted,field programme support,delivered
SHP-2022-00057,1,2022-10-22T14:00:00,2022-10-23T21:00:00,BP-30044,BP-30070,FCL-1029,FCL-1019,BP-30060,office_supply,40,case,ambient,emergency,field programme support,delivered
SHP-2022-00058,1,2022-10-22T18:00:00,2022-10-25T07:00:00,BP-30055,BP-30033,FCL-1010,FCL-1013,BP-30015,office_supply,62,case,ambient,ordinary,facility replenishment,delivered
SHP-2022-00059,1,2022-10-24T18:00:00,2022-10-27T06:00:00,BP-30080,BP-30060,FCL-1020,FCL-1009,BP-30020,office_supply,40,case,ambient,ordinary,laboratory delivery,delivered
SHP-2022-00060,1,2022-12-02T10:00:00,2022-12-06T04:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30015,biological_sample,18,sealed_lot,2-8C,restricted,scheduled stock transfer,delivered
SHP-2022-00061,1,2022-12-11T18:00:00,,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30078,medical_consumables,6,case,2-8C,ordinary,laboratory delivery,in_transit
SHP-2023-00001,1,2023-03-14T10:00:00,2023-03-17T12:00:00,BP-30039,BP-30054,FCL-1029,FCL-1007,BP-30031,agricultural_product,28,pallet,ambient,restricted,facility replenishment,delivered
SHP-2023-00002,1,2023-03-23T08:00:00,2023-03-25T02:00:00,BP-30003,BP-30027,FCL-1015,FCL-1021,BP-30055,grant,1,grant,ambient,expedited,facility replenishment,delivered
SHP-2023-00003,1,2023-03-29T09:00:00,2023-03-31T23:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,medical_consumables,64,case,2-8C,restricted,temperature-controlled clinical programme delivery,delivered
SHP-2023-00004,1,2023-04-01T18:00:00,2023-04-05T12:00:00,BP-30068,BP-30077,FCL-1020,FCL-1007,BP-30042,monitoring_equipment,10,kit,ambient,ordinary,laboratory delivery,delivered
SHP-2023-00005,1,2023-04-02T08:00:00,2023-04-04T11:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30031,consulting_service,1,service,ambient,ordinary,agricultural distribution,delivered
SHP-2023-00006,1,2023-04-02T12:00:00,2023-04-05T00:00:00,BP-30018,BP-30045,FCL-1003,FCL-1016,BP-30025,monitoring_equipment,15,kit,ambient,ordinary,scheduled stock transfer,delivered
SHP-2023-00007,1,2023-04-02T13:00:00,2023-04-02T20:00:00,BP-30055,BP-30036,FCL-1010,FCL-1030,BP-30025,monitoring_equipment,9,kit,ambient,ordinary,customer distribution,delivered
SHP-2023-00008,1,2023-04-03T18:00:00,2023-04-04T03:00:00,BP-30071,BP-30032,FCL-1011,FCL-1019,BP-30078,biological_sample,13,sealed_lot,2-8C,emergency,customer distribution,delivered
SHP-2023-00009,1,2023-04-04T12:00:00,2023-04-04T20:00:00,BP-30063,BP-30067,FCL-1025,FCL-1023,BP-30015,cold_storage_equipment,24,unit,ambient,expedited,agricultural distribution,delivered
SHP-2023-00010,1,2023-04-05T18:00:00,2023-04-07T19:00:00,BP-30078,BP-30033,FCL-1011,FCL-1013,BP-30055,agricultural_equipment,2,unit,ambient,expedited,scheduled stock transfer,delivered
SHP-2023-00011,1,2023-04-06T16:00:00,2023-04-07T09:00:00,BP-30065,BP-30077,FCL-1014,FCL-1007,BP-30031,cold_storage_equipment,8,unit,ambient,ordinary,facility replenishment,delivered
SHP-2023-00012,1,2023-04-07T07:00:00,2023-04-11T00:00:00,BP-30009,BP-30079,FCL-1010,FCL-1022,BP-30015,cold_storage_equipment,14,unit,ambient,emergency,customer distribution,delivered
SHP-2023-00013,1,2023-04-07T16:00:00,2023-04-10T04:00:00,BP-30042,BP-30031,FCL-1015,FCL-1023,BP-30047,laboratory_material,34,pack,ambient,ordinary,facility replenishment,delayed
SHP-2023-00014,1,2023-04-08T05:00:00,2023-04-11T10:00:00,BP-30052,BP-30011,FCL-1011,FCL-1012,BP-30078,protective_equipment,40,case,ambient,emergency,laboratory delivery,delivered
SHP-2023-00015,1,2023-04-08T16:00:00,2023-04-10T11:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30060,medical_consumables,64,case,2-8C,ordinary,laboratory delivery,delivered
SHP-2023-00016,1,2023-04-09T10:00:00,2023-04-11T22:00:00,BP-30080,BP-30075,FCL-1020,FCL-1027,BP-30042,protective_equipment,83,case,ambient,ordinary,facility replenishment,delayed
SHP-2023-00017,1,2023-04-09T11:00:00,2023-04-10T18:00:00,BP-30031,BP-30011,FCL-1023,FCL-1012,BP-30078,cold_storage_equipment,24,unit,ambient,restricted,laboratory delivery,delivered
SHP-2023-00018,1,2023-04-09T13:00:00,2023-04-10T10:00:00,BP-30035,BP-30078,FCL-1009,FCL-1011,BP-30031,communication_service,1,service,ambient,expedited,customer distribution,delivered
SHP-2023-00019,1,2023-04-12T05:00:00,2023-04-14T06:00:00,BP-30062,BP-30001,FCL-1012,FCL-1025,BP-30031,agricultural_product,36,pallet,ambient,restricted,laboratory delivery,delivered
SHP-2023-00020,1,2023-04-13T05:00:00,2023-04-14T16:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30020,refrigeration_service,1,service,ambient,restricted,customer distribution,delivered
SHP-2023-00021,1,2023-04-13T06:00:00,2023-04-13T13:00:00,BP-30062,BP-30043,FCL-1012,FCL-1010,BP-30020,biological_sample,16,sealed_lot,2-8C,ordinary,laboratory delivery,delivered
SHP-2023-00022,1,2023-04-15T11:00:00,2023-04-18T07:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30060,biological_sample,6,sealed_lot,2-8C,ordinary,field programme support,delivered
SHP-2023-00023,1,2023-04-16T17:00:00,2023-04-17T16:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30047,laboratory_material,42,pack,ambient,ordinary,laboratory delivery,delivered
SHP-2023-00024,1,2023-04-18T13:00:00,2023-04-21T20:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30060,monitoring_equipment,14,kit,ambient,ordinary,laboratory delivery,delayed
SHP-2023-00025,1,2023-04-19T06:00:00,2023-04-22T13:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30025,laboratory_material,23,pack,ambient,ordinary,field programme support,delivered
SHP-2023-00026,1,2023-04-21T08:00:00,2023-04-22T21:00:00,BP-30011,BP-30004,FCL-1012,FCL-1029,BP-30031,monitoring_equipment,6,kit,ambient,expedited,field programme support,delayed
SHP-2023-00027,1,2023-04-21T09:00:00,2023-04-22T00:00:00,BP-30023,BP-30015,FCL-1002,FCL-1006,BP-30078,medical_consumables,83,case,2-8C,ordinary,scheduled stock transfer,delivered
SHP-2023-00028,1,2023-04-21T16:00:00,2023-04-24T06:00:00,BP-30073,BP-30047,FCL-1019,FCL-1016,BP-30015,grant,1,grant,ambient,emergency,agricultural distribution,delivered
SHP-2023-00029,1,2023-04-22T09:00:00,2023-04-25T02:00:00,BP-30030,BP-30052,FCL-1018,FCL-1011,BP-30015,medical_consumables,37,case,2-8C,ordinary,laboratory delivery,delivered
SHP-2023-00030,1,2023-04-22T11:00:00,2023-04-24T04:00:00,BP-30041,BP-30001,FCL-1008,FCL-1025,BP-30020,consulting_service,1,service,ambient,ordinary,scheduled stock transfer,delivered
SHP-2023-00031,1,2023-04-22T12:00:00,2023-04-22T22:00:00,BP-30079,BP-30018,FCL-1022,FCL-1003,BP-30042,cold_storage_equipment,19,unit,ambient,ordinary,laboratory delivery,delivered
SHP-2023-00032,1,2023-04-22T16:00:00,2023-04-23T17:00:00,BP-30035,BP-30023,FCL-1009,FCL-1002,BP-30025,grant,1,grant,ambient,ordinary,agricultural distribution,delivered
SHP-2023-00033,1,2023-04-22T18:00:00,2023-04-25T21:00:00,BP-30010,BP-30018,FCL-1016,FCL-1003,BP-30025,protective_equipment,68,case,ambient,ordinary,field programme support,delivered
SHP-2023-00034,1,2023-04-23T05:00:00,2023-04-27T02:00:00,BP-30036,BP-30060,FCL-1030,FCL-1009,BP-30025,monitoring_equipment,24,kit,ambient,ordinary,facility replenishment,delivered
SHP-2023-00035,1,2023-05-30T05:00:00,2023-05-31T13:00:00,BP-30029,BP-30027,FCL-1004,FCL-1021,BP-30055,legal_service,1,service,ambient,ordinary,facility replenishment,delayed
SHP-2023-00036,1,2023-06-24T17:00:00,2023-06-25T16:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30020,research_contract,1,contract,ambient,emergency,agricultural distribution,delayed
SHP-2023-00037,1,2023-09-01T05:00:00,2023-09-03T22:00:00,BP-30028,BP-30071,FCL-1020,FCL-1011,BP-30042,agricultural_product,25,pallet,ambient,ordinary,field programme support,delivered
SHP-2023-00038,1,2023-09-01T15:00:00,2023-09-03T19:00:00,BP-30030,BP-30068,FCL-1018,FCL-1020,BP-30060,communication_service,1,service,ambient,restricted,agricultural distribution,delivered
SHP-2023-00039,1,2023-09-02T11:00:00,2023-09-04T23:00:00,BP-30032,BP-30019,FCL-1019,FCL-1010,BP-30031,communication_service,1,service,ambient,ordinary,laboratory delivery,delivered
SHP-2023-00040,1,2023-09-02T11:00:00,2023-09-03T09:00:00,BP-30032,BP-30079,FCL-1019,FCL-1022,BP-30047,refrigeration_service,1,service,ambient,ordinary,agricultural distribution,delivered
SHP-2023-00041,1,2023-09-03T12:00:00,2023-09-06T17:00:00,BP-30053,BP-30046,FCL-1030,FCL-1010,BP-30078,medical_consumables,89,case,2-8C,ordinary,scheduled stock transfer,delivered
SHP-2023-00042,1,2023-09-03T15:00:00,2023-09-06T20:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30042,cold_storage_equipment,14,unit,ambient,ordinary,field programme support,delivered
SHP-2023-00043,1,2023-09-03T15:00:00,2023-09-07T00:00:00,BP-30041,BP-30056,FCL-1008,FCL-1019,BP-30042,medical_equipment,8,unit,ambient,ordinary,facility replenishment,delivered
SHP-2023-00044,1,2023-09-05T05:00:00,2023-09-07T21:00:00,BP-30078,BP-30006,FCL-1011,FCL-1019,BP-30042,medical_consumables,3,case,2-8C,emergency,field programme support,delivered
SHP-2023-00045,1,2023-09-05T12:00:00,2023-09-07T19:00:00,BP-30046,BP-30060,FCL-1010,FCL-1009,BP-30078,laboratory_material,44,pack,ambient,ordinary,customer distribution,delivered
SHP-2023-00046,1,2023-09-05T13:00:00,2023-09-06T17:00:00,BP-30017,BP-30042,FCL-1010,FCL-1015,BP-30015,monitoring_equipment,4,kit,ambient,ordinary,customer distribution,delivered
SHP-2023-00047,1,2023-09-06T13:00:00,,BP-30066,BP-30078,FCL-1003,FCL-1011,BP-30031,biological_sample,7,sealed_lot,2-8C,ordinary,customer distribution,in_transit
SHP-2023-00048,1,2023-09-06T13:00:00,2023-09-09T05:00:00,BP-30037,BP-30033,FCL-1017,FCL-1013,BP-30042,medical_consumables,8,case,2-8C,restricted,customer distribution,delivered
SHP-2023-00049,1,2023-09-06T17:00:00,2023-09-08T12:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30078,agricultural_product,9,pallet,ambient,ordinary,agricultural distribution,delivered
SHP-2023-00050,1,2023-09-07T14:00:00,2023-09-09T05:00:00,BP-30033,BP-30074,FCL-1013,FCL-1015,BP-30015,refrigeration_service,1,service,ambient,restricted,field programme support,delivered
SHP-2023-00051,1,2023-09-08T18:00:00,2023-09-12T13:00:00,BP-30016,BP-30068,FCL-1030,FCL-1020,BP-30047,transport_service,1,service,ambient,expedited,field programme support,delivered
SHP-2023-00052,1,2023/09/09 08:00:00,2023-09-12T21:00:00,BP-30021,BP-30043,FCL-1007,FCL-1010,BP-30015,transport_service,1,service,ambient,ordinary,customer distribution,delivered
SHP-2023-00053,1,2023-09-09T14:00:00,,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30042,communication_service,1,service,ambient,ordinary,facility replenishment,in_transit
SHP-2023-00054,1,2023-09-12T07:00:00,2023-09-13T21:00:00,BP-30079,BP-30061,FCL-1022,FCL-1030,BP-30031,medical_equipment,21,unit,ambient,expedited,scheduled stock transfer,delivered
SHP-2023-00055,1,2023-09-12T09:00:00,2023-09-15T23:00:00,BP-30025,BP-30017,FCL-1026,FCL-1010,BP-30060,communication_service,1,service,ambient,restricted,customer distribution,delivered
SHP-2023-00056,1,2023-09-12T09:00:00,2023-09-13T16:00:00,BP-30056,BP-30051,FCL-1019,FCL-1005,BP-30015,biological_sample,6,sealed_lot,2-8C,ordinary,facility replenishment,delivered
SHP-2023-00057,1,2023-09-13T11:00:00,2023-09-16T21:00:00,BP-30068,BP-30079,FCL-1020,FCL-1022,BP-30055,monitoring_equipment,25,kit,ambient,ordinary,facility replenishment,delivered
SHP-2023-00058,1,2023-09-13T17:00:00,2023-09-16T00:00:00,BP-30061,BP-30066,FCL-1030,FCL-1003,BP-30078,agricultural_product,1,pallet,ambient,ordinary,scheduled stock transfer,delivered
SHP-2023-00059,1,2023-09-14T06:00:00,2023-09-15T00:00:00,BP-30064,BP-30042,FCL-1010,FCL-1015,BP-30055,cold_storage_equipment,17,unit,ambient,emergency,field programme support,delivered
SHP-2023-00060,1,2023-09-15T09:00:00,2023-09-18T10:00:00,BP-30056,BP-30078,FCL-1030,FCL-1024,BP-30047,biological_sample,2,sealed_lot,2-8C,restricted,environmental and wildlife reference materials,delivered
SHP-2023-00061,1,2023-09-15T11:00:00,2023-09-18T09:00:00,BP-30015,BP-30014,FCL-1006,FCL-1029,BP-30031,agricultural_product,47,pallet,FROZEN,ordinary,agricultural distribution,delivered
SHP-2023-00062,1,2023-09-15T11:00:00,2023-09-18T20:00:00,BP-30076,BP-30078,FCL-1020,FCL-1011,BP-30078,agricultural_product,46,pallet,ambient,ordinary,field programme support,delivered
SHP-2023-00063,1,2023-09-18T15:00:00,2023-09-21T09:00:00,BP-30010,BP-30080,FCL-1016,FCL-1020,BP-30042,refrigeration_service,1,service,ambient,ordinary,agricultural distribution,delayed
SHP-2023-00064,1,2023-09-18T18:00:00,2023-09-20T19:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30078,medical_equipment,3,unit,ambient,ordinary,customer distribution,delivered
SHP-2023-00065,1,2023-09-19T05:00:00,2023-09-19T15:00:00,BP-30035,BP-30042,FCL-1009,FCL-1015,BP-30042,protective_equipment,37,case,ambient,expedited,agricultural distribution,delivered
SHP-2023-00066,1,2023-09-23T07:00:00,2023-09-24T16:00:00,BP-30006,BP-30051,FCL-1019,FCL-1005,BP-30025,laboratory_material,27,pack,ambient,ordinary,facility replenishment,delivered
SHP-2023-00067,1,2023-09-23T10:00:00,2023-09-25T03:00:00,BP-30030,BP-30015,FCL-1018,FCL-1006,BP-30015,communication_service,1,service,ambient,emergency,field programme support,delivered
SHP-2023-00068,1,2023-09-23T10:00:00,2023-09-24T16:00:00,BP-30072,BP-30033,FCL-1024,FCL-1013,BP-30047,refrigeration_service,1,service,ambient,ordinary,facility replenishment,delivered
SHP-2023-00069,1,2023-10-16T16:00:00,2023-10-20T00:00:00,BP-30078,BP-30023,FCL-1011,FCL-1002,BP-30055,laboratory_material,30,pack,ambient,ordinary,facility replenishment,delivered
SHP-2023-00070,1,2023-10-19T06:00:00,2023-10-20T01:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30042,medical_equipment,21,unit,ambient,restricted,agricultural distribution,delivered
SHP-2023-00071,1,2023-11-10T09:00:00,2023-11-12T05:00:00,BP-30056,BP-30078,FCL-1019,FCL-1019,BP-30047,biological_sample,8,sealed_lot,2-8C,restricted,environmental and wildlife reference materials,delivered
SHP-2023-00072,1,2023-11-22T11:00:00,2023-11-23T15:00:00,BP-30045,BP-30064,FCL-1016,FCL-1010,BP-30020,cold_storage_equipment,12,unit,ambient,ordinary,  field  programme  support ,delivered
SHP-2023-00073,1,2023-11-26T06:00:00,2023-11-27T18:00:00,BP-30078,BP-30046,FCL-1011,FCL-1010,BP-30025,biological_sample,9,sealed_lot,2-8C,ordinary,agricultural distribution,delivered
SHP-2024-00001,1,2024-01-01T17:00:00,2024-01-05T10:00:00,BP-30010,BP-30066,FCL-1016,FCL-1003,BP-30078,monitoring_equipment,28,kit,ambient,ordinary,field programme support,delivered
SHP-2024-00002,1,2024-02-01T09:00:00,2024-02-03T05:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,28,case,2-8C,restricted,temperature-controlled clinical programme delivery,delivered
SHP-2024-00003,1,2024-02-17T18:00:00,2024-02-19T18:00:00,BP-30078,BP-30014,FCL-1011,FCL-1029,BP-30042,other,22,unit,ambient,ordinary,scheduled stock transfer,returned
SHP-2024-00004,1,2024-02-19T09:00:00,2024-02-22T10:00:00,BP-30080,BP-30070,FCL-1020,FCL-1019,BP-30060,communication_service,1,service,ambient,ordinary,agricultural distribution,delivered
SHP-2024-00005,1,2024-02-22T09:00:00,2024-02-24T16:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,biological_sample,8,sealed_lot,2-8C,expedited,temperature-controlled clinical programme delivery,delivered
SHP-2024-00006,1,2024-02-25T09:00:00,2024-02-27T17:00:00,BP-30054,BP-30049,FCL-1007,FCL-1002,BP-30060,agricultural_product,24,pallet,ambient,emergency,agricultural distribution,delayed
SHP-2024-00007,1,2024-03-22T09:00:00,2024-03-23T16:00:00,BP-30056,BP-30078,FCL-1030,FCL-1024,BP-30047,biological_sample,6,sealed_lot,2-8C,expedited,environmental and wildlife reference materials,delivered
SHP-2024-00008,1,2024-03-31T16:00:00,2024-04-01T02:00:00,BP-30040,BP-30074,FCL-1015,FCL-1015,BP-30047,office_supply,29,case,ambient,ordinary,customer distribution,delivered
SHP-2024-00009,1,2024-04-06T12:00:00,2024-04-09T02:00:00,BP-30011,BP-30020,FCL-1012,FCL-1001,BP-30031,transport_service,1,service,ambient,ordinary,field programme support,delivered
SHP-2024-00010,1,2024-05-17T14:00:00,2024-05-21T04:00:00,BP-30020,BP-30078,FCL-1001,FCL-1011,BP-30020,legal_service,1,service,ambient,ordinary,field programme support,delivered
SHP-2024-00011,1,2024-05-31T09:00:00,2024-06-03T03:00:00,BP-30056,BP-30078,FCL-1019,FCL-1019,BP-30047,biological_sample,3,sealed_lot,2-8C,restricted,environmental and wildlife reference materials,delivered
SHP-2024-00012,1,2024-06-01T05:00:00,2024-06-02T07:00:00,BP-30027,BP-30069,FCL-1021,FCL-1008,BP-30031,cold_storage_equipment,16,unit,ambient,emergency,laboratory delivery,delivered
SHP-2024-00013,1,2024-06-01T07:00:00,2024-06-04T13:00:00,BP-30019,BP-30007,FCL-1010,FCL-1014,BP-30055,agricultural_equipment,2,unit,ambient,ordinary,customer distribution,delivered
SHP-2024-00014,1,2024-06-01T10:00:00,2024-06-03T01:00:00,BP-30066,BP-30052,FCL-1003,FCL-1011,BP-30042,monitoring_equipment,7,kit,ambient,ordinary,customer distribution,delivered
SHP-2024-00015,1,2024-06-01T15:00:00,2024-06-03T20:00:00,BP-30060,BP-30009,FCL-1009,FCL-1010,BP-30047,agricultural_product,22,pallet,ambient,ordinary,laboratory delivery,delivered
SHP-2024-00016,1,2024-06-02T15:00:00,2024-06-03T05:00:00,BP-30019,BP-30049,FCL-1010,FCL-1002,BP-30055,agricultural_equipment,21,unit,ambient,expedited,scheduled stock transfer,delivered
SHP-2024-00017,1,2024-06-03T16:00:00,2024-06-05T01:00:00,BP-30065,BP-30053,FCL-1014,FCL-1030,BP-30025,refrigeration_service,1,service,ambient,restricted,scheduled stock transfer,delivered
SHP-2024-00018,1,2024-06-03T18:00:00,2024-06-05T22:00:00,BP-30055,BP-30036,FCL-1010,FCL-1030,BP-30025,transport_service,1,service,ambient,expedited,laboratory delivery,delivered
SHP-2024-00019,1,2024-06-04T06:00:00,2024-06-06T12:00:00,BP-30017,BP-30076,FCL-1010,FCL-1020,BP-30055,agricultural_product,26,pallet,ambient,ordinary,facility replenishment,delivered
SHP-2024-00020,1,2024-06-04T15:00:00,2024-06-05T18:00:00,BP-30007,BP-30064,FCL-1014,FCL-1010,BP-30015,biological_sample,4,sealed_lot,2-8C,ordinary,laboratory delivery,delivered
SHP-2024-00021,1,2024-06-05T15:00:00,2024-06-08T05:00:00,BP-30080,BP-30072,FCL-1020,FCL-1024,BP-30060,cold_storage_equipment,7,unit,ambient,emergency,scheduled stock transfer,delivered
SHP-2024-00022,1,2024-06-05T17:00:00,2024-06-06T17:00:00,BP-30039,BP-30015,FCL-1029,FCL-1006,BP-30055,biological_sample,10,sealed_lot,2-8C,ordinary,agricultural distribution,delivered
SHP-2024-00023,1,2024-06-05T18:00:00,2024-06-07T06:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,refrigeration_service,1,service,ambient,ordinary,customer distribution,delivered
SHP-2024-00024,1,2024-06-07T05:00:00,2024-06-09T10:00:00,BP-30062,BP-30036,FCL-1012,FCL-1030,BP-30042,refrigeration_service,1,service,ambient,ordinary,agricultural distribution,delivered
SHP-2024-00025,1,2024-06-08T15:00:00,2024-06-09T17:00:00,BP-30078,BP-30041,FCL-1011,FCL-1008,BP-30031,monitoring_equipment,10,kit,ambient,ordinary,customer distribution,delivered
SHP-2024-00026,1,2024-06-10T10:00:00,2024-06-11T23:00:00,BP-30044,BP-30020,FCL-1029,FCL-1001,BP-30020,legal_service,1,service,ambient,ordinary,agricultural distribution,delivered
SHP-2024-00027,1,2024-06-12T08:00:00,2024-06-12T16:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30020,laboratory_material,11,pack,ambient,expedited,laboratory delivery,delivered
SHP-2024-00028,1,2024-06-12T10:00:00,2024-06-13T02:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30042,agricultural_product,31,pallet,ambient,expedited,scheduled stock transfer,delivered
SHP-2024-00029,1,2024-06-15T12:00:00,2024-06-17T07:00:00,BP-30008,BP-30023,FCL-1007,FCL-1002,BP-30015,legal_service,1,service,ambient,emergency,customer distribution,delayed
SHP-2024-00030,1,2024-06-16T08:00:00,2024-06-18T22:00:00,BP-30068,BP-30009,FCL-1020,FCL-1010,BP-30042,refrigeration_service,1,service,ambient,ordinary,facility replenishment,delivered
SHP-2024-00031,1,2024-06-16T16:00:00,2024-06-18T08:00:00,BP-30037,BP-30078,FCL-1017,FCL-1011,BP-30015,consulting_service,1,service,ambient,ordinary,laboratory delivery,returned
SHP-2024-00032,1,2024-06-16T18:00:00,2024-06-20T06:00:00,BP-30018,BP-30077,FCL-1003,FCL-1007,BP-30015,monitoring_equipment,23,kit,ambient,ordinary,scheduled stock transfer,delivered
SHP-2024-00033,1,2024-06-18T11:00:00,2024-06-21T05:00:00,BP-30007,BP-30071,FCL-1014,FCL-1011,BP-30020,office_supply,44,case,ambient,ordinary,field programme support,delivered
SHP-2024-00034,1,2024-06-19T05:00:00,2024-06-22T22:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30015,agricultural_product,50,pallet,ambient,expedited,customer distribution,delivered
