receipt_number,purchase_order_number,purchase_order_line,receipt_date,receiving_facility_code,supplier_partner_code,received_quantity,received_unit,batch_reference,inspection_status,storage_location_code,receipt_status
RCV-2023-00413,PO-2023-00024,1,2023-05-22,FCL-1016,BP-30039,7,kit,B-2023-60777,accepted,BIN-41,posted
RCV-2023-00414,PO-2023-00025,1,2023-04-16,FCL-1011,BP-30046,87,case,B-2023-60587,accepted,BIN-04,posted
RCV-2023-00415,PO-2023-00027,1,2023-04-27,FCL-1030,BP-30060,17,unit,B-2023-93479,held,BIN-21,quality_hold
RCV-2023-00416,PO-2023-00029,1,2023-05-02,FCL-1011,BP-30008,1,service,B-2023-99518,accepted,BIN-05,posted
RCV-2023-00417,PO-2023-00030,1,2023-05-11,FCL-1023,BP-30068,84,case,B-2023-01951,held,BIN-36,quality_hold
RCV-2023-00418,PO-2023-00031,1,2023-04-26,FCL-1011,BP-30044,4 kit,kit,B-2023-78998,accepted,BIN-01,posted
RCV-2023-00419,PO-2023-00032,1,2023-05-12,FCL-1030,BP-30028,22,unit,B-2023-33917,accepted,BIN-35,posted
RCV-2023-00420,PO-2023-00033,1,2023-05-17,FCL-1019,BP-30054,11,unit,B-2023-81487,accepted,BIN-09,posted
RCV-2023-00421,PO-2023-00035,1,2023-05-14,FCL-1007,BP-30078,50,pallet,B-2023-40720,conditional,BIN-35,posted
RCV-2023-00422,PO-2023-00036,1,2023-05-25,FCL-1024,BP-30044,84,case,B-2023-39320,accepted,BIN-32,posted
RCV-2023-00423,PO-2023-00037,1,2023-05-11,FCL-1011,BP-30052,"35,65",pallet,B-2023-83066,conditional,BIN-38,posted
RCV-2023-00424,PO-2023-00038,1,2023-05-13,FCL-1030,BP-30055,23.16,kit,B-2023-10603,accepted,BIN-31,posted
RCV-2023-00425,PO-2023-00039,1,2023-04-29,FCL-1019,BP-30078,64,case,B-2023-58454,accepted,BIN-19,posted
RCV-2023-00426,PO-2023-00040,1,2023-05-29,FCL-1011,BP-30046,12,kit,B-2023-38809,accepted,BIN-38,posted
RCV-2023-00427,PO-2023-00041,1,2023-05-09,FCL-1025,BP-30044,30,kit,B-2023-13278,accepted,BIN-28,posted
RCV-2023-00428,PO-2023-00042,1,2023-05-28,FCL-1025,BP-30072,3,kit,B-2023-65898,accepted,BIN-35,posted
RCV-2023-00429,PO-2023-00043,1,2023-05-24,FCL-1014,BP-30001,29,kit,B-2023-15628,accepted,BIN-21,posted
RCV-2023-00430,PO-2023-00044,1,2023-04-28,FCL-1019,BP-30017,18,pack,B-2023-58959,accepted,BIN-06,posted
RCV-2023-00431,PO-2023-00045,1,2023-05-21,FCL-1003,BP-30009,50,case,B-2023-15939,accepted,BIN-40,posted
RCV-2023-00432,PO-2023-00046,1,2023-05-17,FCL-1013,BP-30031,3,kit,B-2023-99718,accepted,BIN-27,posted
RCV-2023-00433,PO-2023-00047,1,2023-05-02,FCL-1019,BP-30009,0.82,service,B-2023-29626,,BIN-28,posted
RCV-2023-00434,PO-2023-00048,1,2023-04-30,FCL-1007,BP-30078,1 contract,contract,B-2023-26658,accepted,BIN-10,posted
RCV-2023-00435,PO-2023-00049,1,2023-05-19,FCL-1011,BP-30009,15,sealed_lot,B-2023-06251,accepted,BIN-38,posted
RCV-2023-00436,PO-2023-00050,1,2023-05-13,FCL-1030,BP-30021,48,pallet,B-2023-51613,accepted,BIN-20,posted
RCV-2023-00437,PO-2023-00051,1,2023-05-31,FCL-1007,BP-30078,1,contract,B-2023-54289,accepted,BIN-01,posted
RCV-2023-00438,PO-2023-00052,1,2023-05-27,FCL-1016,BP-30022,46,pallet,B-2023-13774,accepted,BIN-36,posted
RCV-2023-00439,PO-2023-00053,1,2023-06-03,FCL-1007,BP-30038,13.26,kit,B-2023-17719,accepted,BIN-21,posted
RCV-2023-00440,PO-2023-00054,1,2023-05-25,FCL-1016,BP-30039,1,service,B-2023-17342,accepted,BIN-23,posted
RCV-2023-00441,PO-2023-00055,1,2023-05-10,FCL-1012,BP-30037,0.85,service,B-2023-34723,accepted,BIN-17,posted
RCV-2023-00442,PO-2023-00056,1,2023-06-25,FCL-1010,BP-30059,17,kit,B-2023-87844,accepted,BIN-34,posted
RCV-2023-00443,PO-2023-00057,1,2023/09/03,FCL-1004,BP-30059,1,contract,B-2023-79427,accepted,BIN-20,posted
RCV-2023-00444,PO-2023-00058,1,2023-09-17,FCL-1011,BP-30030,44,pallet,B-2023-40424,accepted,BIN-19,posted
RCV-2023-00445,PO-2023-00059,1,2023-09-29,FCL-1025,BP-30026,10,unit,B-2023-71824,accepted,BIN-29,posted
RCV-2023-00446,PO-2023-00060,1,2023-09-15,FCL-1030,BP-30078,58,case,B-2023-17175,accepted,BIN-29,posted
RCV-2023-00447,PO-2023-00061,1,2023-09-29,FCL-1011,BP-30056,65.9,case,B-2023-22475,accepted,BIN-36,posted
RCV-2023-00448,PO-2023-00062,1,2023-09-14,FCL-1011,BP-30018,14,unit,B-2023-08875,accepted,BIN-31,posted
RCV-2023-00449,PO-2023-00063,1,2023-09-18,FCL-1030,BP-30033,10,pallet,B-2023-57153,held,BIN-07,quality_hold
RCV-2023-00450,PO-2023-00064,1,2023-09-28,FCL-1018,BP-30049,1,service,B-2023-22285,accepted,BIN-42,posted
RCV-2023-00451,PO-2023-00065,1,2023-10-09,FCL-1014,BP-30080,24,unit,B-2023-94836,accepted,BIN-03,posted
RCV-2023-00452,PO-2023-00066,1,2023-09-26,FCL-1019,BP-30078,0.9,grant,B-2023-97349,accepted,BIN-17,posted
RCV-2023-00453,PO-2023-00067,1,2023-10-09,FCL-1007,BP-30078,10,sealed_lot,B-2023-08311,accepted,BIN-30,posted
RCV-2023-00454,PO-2023-00068,1,2023-10-10,FCL-1010,BP-30008,46,case,B-2023-64037,accepted,BIN-07,posted
RCV-2023-00455,PO-2023-00069,1,2023-10-09,FCL-1010,BP-30033,11,kit,B-2023-53302,accepted,BIN-31,posted
RCV-2023-00456,PO-2023-00070,1,2023-09-21,FCL-1010,BP-30079,22.41,case,B-2023-92740,accepted,BIN-31,posted
RCV-2023-00457,PO-2023-00071,1,2023-09-27,FCL-1019,BP-30035,20,kit,B-2023-80470,accepted,BIN-15,posted
RCV-2023-00458,PO-2023-00072,1,2023-10-15,FCL-1002,BP-30056,23,unit,B-2023-95641,accepted,BIN-38,posted
RCV-2023-00459,PO-2023-00073,1,2023-10-22,FCL-1005,BP-30041,64,case,B-2023-56839,accepted,BIN-19,posted
RCV-2023-00460,PO-2023-00074,1,2023-09-19,FCL-1029,BP-30005,5,sealed_lot,B-2023-78292,accepted,BIN-26,posted
RCV-2023-00461,PO-2023-00076,1,2023-10-10,FCL-1008,BP-30040,1,service,B-2023-73973,accepted,BIN-41,posted
RCV-2023-00462,PO-2023-00077,1,2023-10-06,FCL-1020,BP-30014,19,unit,B-2023-01053,accepted,BIN-11,posted
RCV-2023-00463,PO-2023-00079,1,2023-10-12,FCL-1026,BP-30079,16,unit,B-2023-53692,accepted,BIN-12,posted
RCV-2023-00464,PO-2023-00080,1,2023-10-01,FCL-1011,BP-30053,88,case,B-2023-04048,held,BIN-02,quality_hold
RCV-2023-00465,PO-2023-00081,1,2023-09-25,FCL-1005,BP-30047,14,sealed_lot,B-2023-29378,conditional,BIN-27,posted
RCV-2023-00466,PO-2023-00082,1,2023-10-09,FCL-1015,BP-30079,65,case,B-2023-51298,accepted,BIN-17,posted
RCV-2023-00467,PO-2023-00083,1,2023-10-10,FCL-1018,BP-30047,9,kit,B-2023-38982,accepted,BIN-03,posted
RCV-2023-00468,PO-2023-00084,1,2023-10-13,FCL-1011,BP-30080,12,unit,B-2023-19451,accepted,BIN-15,posted
RCV-2023-00469,PO-2023-00085,1,2023-10-03,FCL-1001,BP-30042,1,service,B-2023-73826,accepted,BIN-22,posted
RCV-2023-00470,PO-2023-00086,1,2023-10-22,FCL-1007,BP-30078,1,service,B-2023-96735,held,BIN-18,quality_hold
RCV-2023-00471,PO-2023-00087,1,2023-10-03,FCL-1012,BP-30047,12,unit,B-2023-31904,accepted,BIN-22,posted
RCV-2023-00472,PO-2023-00088,1,2023-10-27,FCL-1020,BP-30049,53,case,B-2023-60889,accepted,BIN-13,posted
RCV-2023-00473,PO-2023-00089,1,2023-11-02,FCL-1010,BP-30038,81,case,B-2023-00074,accepted,BIN-41,posted
RCV-2023-00474,PO-2023-00090,1,2023-10-15,FCL-1011,BP-30056,3,unit,B-2023-61427,accepted,BIN-11,posted
RCV-2023-00475,PO-2023-00091,1,2023-11-05,FCL-1002,BP-30066,72,case,B-2023-05211,conditional,BIN-02,posted
RCV-2023-00476,PO-2023-00092,1,2023-10-18,FCL-1030,BP-30073,14,pallet,B-2023-19514,accepted,BIN-41,posted
RCV-2023-00477,PO-2023-00093,1,2023-10-27,FCL-1030,BP-30043,39,pallet,B-2023-25964,accepted,BIN-16,posted
RCV-2023-00478,PO-2023-00094,1,2023-10-10,FCL-1005,BP-30078,45,case,B-2023-27361,accepted,BIN-15,posted
RCV-2023-00479,PO-2023-00095,1,2023-10-18,FCL-1003,BP-30043,1,service,B-2023-19629,conditional,BIN-07,posted
RCV-2023-00480,PO-2023-00096,1,2023-10-01,FCL-1019,BP-30046,0.97,service,B-2023-41305,held,BIN-17,quality_hold
RCV-2023-00481,PO-2023-00097,1,2023-10-07,FCL-1007,BP-30041,1,service,B-2023-27691,accepted,BIN-02,posted
RCV-2023-00482,PO-2023-00098,1,2023-10-03,FCL-1020,BP-30043,14,sealed_lot,B-2023-95833,accepted,BIN-03,posted
RCV-2023-00483,PO-2023-00099,1,2023-11-02,FCL-1009,BP-30058,27,pallet,B-2023-80736,accepted,BIN-06,posted
RCV-2023-00484,PO-2023-00100,1,2023-10-08,FCL-1029,BP-30060,1,service,B-2023-22245,accepted,BIN-35,posted
RCV-2023-00485,PO-2023-00101,1,2023-10-20,FCL-1024,BP-30049,23.64,case,B-2023-16690,accepted,BIN-13,posted
RCV-2023-00486,PO-2023-00103,1,2023-11-13,FCL-1019,BP-30078,3,unit,B-2023-63155,accepted,BIN-29,posted
RCV-2023-00487,PO-2023-00104,1,2023-11-13,FCL-1010,BP-30032,6,unit,B-2023-22030,accepted,BIN-26,posted
RCV-2023-00488,PO-2023-00105,1,2023-12-08,FCL-1015,BP-30054,15,pallet,B-2023-91923,accepted,BIN-34,posted
RCV-2023-00489,PO-2023-00106,1,2023-12-30,FCL-1016,BP-30037,1,service,B-2023-07351,accepted,BIN-34,posted
RCV-2024-00490,PO-2023-00107,1,2024-01-13,FCL-1011,BP-30056,13,unit,B-2024-26832,accepted,BIN-41,posted
RCV-2024-00491,PO-2024-00001,1,2024-01-12,FCL-1011,BP-30056,39,pack,B-2024-97427,accepted,BIN-34,posted
RCV-2024-00492,PO-2024-00002,1,2024-02-10,FCL-1010,BP-30078,13,case,B-2024-44884,accepted,BIN-31,posted
RCV-2024-00493,PO-2024-00003,1,2024-02-29,FCL-1010,BP-30078,81,case,B-2024-68214,accepted,BIN-42,posted
RCV-2024-00494,PO-2024-00004,1,2024-02-27,FCL-1020,BP-30049,43,pack,B-2024-61779,conditional,BIN-09,posted
RCV-2024-00495,PO-2024-00005,1,2024-03-09,FCL-1017,BP-30059,6,unit,B-2024-44326,accepted,BIN-32,posted
RCV-2024-00496,PO-2024-00006,1,2024-03-12,FCL-1030,BP-30078,24,unit,B-2024-84729,held,BIN-41,quality_hold
RCV-2024-00497,PO-2024-00007,1,2024-05-02,FCL-1011,BP-30020,11.24,case,B-2024-63702,accepted,BIN-12,posted
RCV-2024-00498,PO-2024-00008,1,2024-06-09,FCL-1019,BP-30078,38,case,B-2024-58717,accepted,BIN-08,posted
RCV-2024-00499,PO-2024-00009,1,2024-06-23,FCL-1019,BP-30078,24,pallet,B-2024-20315,conditional,BIN-12,posted
RCV-2024-00500,PO-2024-00010,1,2024-06-12,FCL-1029,BP-30034,24,unit,B-2024-92548,accepted,BIN-04,posted
RCV-2024-00501,PO-2024-00011,1,2024-06-13,FCL-1011,BP-30080,16,unit,B-2024-60313,accepted,BIN-32,posted
RCV-2024-00502,PO-2024-00013,1,2024-06-30,FCL-1011,BP-30032,1,service,B-2024-23135,accepted,BIN-27,posted
RCV-2024-00503,PO-2024-00014,1,2024-07-12,FCL-1007,BP-30078,20,unit,B-2024-94670,accepted,BIN-09,posted
RCV-2024-00504,PO-2024-00015,1,2024-07-06,FCL-1029,BP-30026,20,pack,B-2024-95459,accepted,BIN-13,posted
RCV-2024-00505,PO-2024-00016,1,2024-06-22,FCL-1011,BP-30049,54,case,B-2024-41763,accepted,BIN-03,posted
RCV-2024-00506,PO-2024-00017,1,2024-06-17,FCL-1019,BP-30078,60,pack,B-2024-23610,accepted,BIN-28,posted
RCV-2024-00507,PO-2024-00018,1,2024-07-15,FCL-1006,BP-30064,1,service,B-2024-73915,accepted,BIN-21,posted
RCV-2024-00508,PO-2024-00019,1,2024-06-24,FCL-1030,BP-30064,14,kit,B-2024-31317,accepted,BIN-21,posted
RCV-2024-00509,PO-2024-00020,1,2024-06-17,FCL-1019,BP-30078,4.89,sealed_lot,B-2024-61932,accepted,BIN-18,posted
RCV-2024-00510,PO-2024-00021,1,2024-06-26,FCL-1010,BP-30054,1,service,B-2024-92344,accepted,BIN-16,posted
RCV-2024-00511,PO-2024-00022,1,2024-07-12,FCL-1011,BP-30039,1,grant,B-2024-41439,accepted,BIN-27,posted
RCV-2024-00512,PO-2024-00023,1,2024-07-05,FCL-1019,BP-30078,1,contract,B-2024-50765,accepted,BIN-31,posted
RCV-2024-00513,PO-2024-00024,1,2024-07-17,FCL-1007,BP-30019,1,contract,B-2024-76384,conditional,BIN-33,posted
RCV-2024-00514,PO-2024-00025,1,2024-07-08,FCL-1027,BP-30014,1,unit,B-2024-32472,accepted,BIN-13,posted
RCV-2024-00515,PO-2024-00026,1,2024-07-02,FCL-1028,BP-30012,27,case,B-2024-81810,accepted,BIN-39,posted
RCV-2024-00516,PO-2024-00027,1,2024-06-20,FCL-1029,BP-30074,5,case,B-2024-07145,conditional,BIN-34,posted
RCV-2024-00517,PO-2024-00028,1,2024-07-11,FCL-1010,BP-30053,15,unit,B-2024-48804,conditional,BIN-31,posted
RCV-2024-00518,PO-2024-00029,1,2024-07-12,FCL-1019,BP-30041,23,case,B-2024-31434,accepted,BIN-27,posted
RCV-2024-00519,PO-2024-00030,1,2024-07-28,FCL-1019,BP-30080,8,unit,B-2024-63447,accepted,BIN-24,posted
RCV-2024-00520,PO-2024-00031,1,2024-07-21,FCL-1007,BP-30078,1,service,B-2024-60249,accepted,BIN-01,posted
RCV-2024-00521,PO-2024-00032,1,2024-07-08,FCL-1007,BP-30057,16,case,B-2024-33973,accepted,BIN-04,posted
RCV-2024-00522,PO-2024-00033,1,2024-07-06,FCL-1011,BP-30014,1,unit,B-2024-47739,accepted,BIN-34,posted
RCV-2024-00523,PO-2024-00034,1,2024-07-25,FCL-1011,BP-30013,17,case,B-2024-39232,accepted,BIN-41,posted
RCV-2024-00524,PO-2024-00035,1,2024-07-25,FCL-1020,BP-30008,1,service,B-2024-30757,accepted,BIN-36,posted
RCV-2024-00525,PO-2024-00036,1,2024-07-20,FCL-1002,BP-30054,18,pack,B-2024-61130,conditional,BIN-27,posted
RCV-2024-00526,PO-2024-00037,1,2024-07-23,FCL-1019,BP-30021,1,grant,B-2024-27239,accepted,BIN-01,posted
RCV-2024-00527,PO-2024-00038,1,2024-07-04,FCL-1016,BP-30033,24,pallet,B-2024-12365,held,BIN-10,quality_hold
RCV-2024-00528,PO-2024-00039,1,12/07/2024,FCL-1025,BP-30025,4,case,B-2024-96504,held,BIN-39,quality_hold
RCV-2024-00529,PO-2024-00040,1,2024-07-07,FCL-1011,BP-30025,22,unit,B-2024-42791,accepted,BIN-07,posted
RCV-2024-00530,PO-2024-00041,1,2024-07-05,FCL-1002,BP-30060,15,unit,B-2024-79957,conditional,BIN-23,posted
RCV-2024-00531,PO-2024-00042,1,2024-07-24,FCL-1009,BP-30058,1,service,B-2024-22166,accepted,BIN-32,posted
RCV-2024-00532,PO-2024-00043,1,2024-07-15,FCL-1016,BP-30059,47.13,case,B-2024-66071,accepted,BIN-09,posted
RCV-2024-00533,PO-2024-00044,1,2024-07-30,FCL-1011,BP-30041,87,case,B-2024-07761,accepted,BIN-04,posted
RCV-2024-00534,PO-2024-00045,1,2024-07-19,FCL-1008,BP-30033,58.28,case,B-2024-39765,accepted,BIN-36,posted
RCV-2024-00535,PO-2024-00046,1,2024-07-28,FCL-1010,BP-30007,49,pallet,B-2024-35975,accepted,BIN-35,posted
RCV-2024-00536,PO-2024-00047,1,2024-07-17,FCL-1007,BP-30078,33,case,B-2024-94935,conditional,BIN-22,posted
RCV-2024-00537,PO-2024-00048,1,2024-07-10,FCL-1016,BP-30029,4,case,B-2024-65734,accepted,BIN-30,posted
RCV-2024-00538,PO-2024-00049,1,2024-08-03,FCL-1025,BP-30028,44,case,B-2024-94114,accepted,BIN-04,posted
RCV-2024-00539,PO-2024-00050,1,2024-08-05,FCL-1030,BP-30023,8,pack,B-2024-67393,accepted,BIN-30,posted
RCV-2024-00540,PO-2024-00051,1,2024-08-27,FCL-1020,BP-30078,16,kit,B-2024-36125,accepted,BIN-01,posted
RCV-2024-00541,PO-2024-00053,1,2024-09-03,FCL-1011,BP-30007,17,sealed_lot,B-2024-99848,accepted,BIN-34,posted
RCV-2024-00542,PO-2024-00055,1,2024-10-19,FCL-1001,BP-30033,15.14,kit,B-2024-53261,accepted,BIN-41,posted
RCV-2024-00543,PO-2024-00056,1,2024-10-17,FCL-1011,BP-30056,51,case,B-2024-31194,accepted,BIN-25,posted
RCV-2024-00544,PO-2024-00057,1,2024-11-15,FCL-1011,BP-30012,1 service,service,B-2024-41368,accepted,BIN-17,posted
RCV-2024-00545,PO-2024-00058,1,2024-11-25,FCL-1030,BP-30028,19,kit,B-2024-18768,conditional,BIN-34,posted
RCV-2024-00546,PO-2024-00059,1,2024-11-05,FCL-1024,BP-30060,14,kit,B-2024-36146,accepted,BIN-02,posted
RCV-2024-00547,PO-2024-00060,1,2024-11-26,FCL-1014,BP-30049,1,service,B-2024-34865,accepted,BIN-18,posted
RCV-2024-00548,PO-2024-00061,1,2024-12-02,FCL-1008,BP-30020,25,unit,B-2024-15642,accepted,BIN-08,posted
RCV-2024-00549,PO-2024-00062,1,2024-12-17,FCL-1011,BP-30065,11 unit,unit,B-2024-46522,accepted,BIN-26,posted
RCV-2025-00550,PO-2025-00001,1,2025-01-27,FCL-1030,BP-30052,1,service,B-2025-71687,held,BIN-28,quality_hold
RCV-2025-00551,PO-2025-00002,1,2025-02-12,FCL-1010,BP-30017,3,unit,B-2025-35917,accepted,BIN-07,posted
RCV-2025-00552,PO-2025-00003,1,2025-02-17,FCL-1028,BP-30001,37,pallet,B-2025-06752,accepted,BIN-07,posted
RCV-2025-00553,PO-2025-00004,1,2025-03-02,FCL-1011,BP-30057,6,unit,B-2025-02952,conditional,BIN-23,posted
RCV-2025-00554,PO-2025-00005,1,2025-02-28,FCL-1006,BP-30032,1,service,B-2025-47427,held,BIN-03,quality_hold
RCV-2025-00555,PO-2025-00006,1,2025-03-09,FCL-1010,BP-30022,9,sealed_lot,B-2025-40886,accepted,BIN-38,posted
RCV-2025-00556,PO-2025-00007,1,2025-03-23,FCL-1030,BP-30058,12,unit,B-2025-11833,conditional,BIN-02,posted
RCV-2025-00557,PO-2025-00008,1,2025-04-16,FCL-1011,BP-30079,31,case,B-2025-87143,conditional,BIN-11,posted
RCV-2025-00558,PO-2025-00009,1,2025-05-13,FCL-1030,BP-30078,16,unit,B-2025-94131,accepted,BIN-28,posted
RCV-2025-00559,PO-2025-00010,1,2025-05-18,FCL-1019,BP-30078,2,unit,B-2025-62109,accepted,BIN-29,posted
RCV-2025-00560,PO-2025-00011,1,2025-06-01,FCL-1011,BP-30018,11,kit,B-2025-97546,accepted,BIN-40,posted
RCV-2025-00561,PO-2025-00012,1,2025-05-19,FCL-1019,BP-30078,1,service,B-2025-36372,accepted,BIN-33,posted
RCV-2025-00562,PO-2025-00013,1,2025-05-21,FCL-1007,BP-30078,1,service,B-2025-35665,accepted,BIN-40,posted
RCV-2025-00563,PO-2025-00014,1,2025-06-02,FCL-1007,BP-30078,15,unit,B-2025-67701,accepted,BIN-32,posted
RCV-2025-00564,PO-2025-00015,1,2025-06-14,FCL-1013,BP-30062,1,contract,B-2025-73222,accepted,BIN-41,posted
RCV-2025-00565,PO-2025-00016,1,2025-05-23,FCL-1009,BP-30080,23,unit,B-2025-44255,accepted,BIN-21,posted
RCV-2025-00566,PO-2025-00017,1,2025-05-21,FCL-1007,BP-30078,1,service,B-2025-87583,accepted,BIN-35,posted
RCV-2025-00567,PO-2025-00018,1,2025-06-07,FCL-1028,BP-30069,35,case,B-2025-23471,accepted,BIN-16,posted
RCV-2025-00568,PO-2025-00019,1,2025-06-07,FCL-1011,BP-30035,33,pallet,B-2025-65645,accepted,BIN-41,posted
RCV-2025-00569,PO-2025-00020,1,2025/06/11,FCL-1025,BP-30038,25,case,B-2025-95874,accepted,BIN-38,posted
RCV-2025-00570,PO-2025-00021,1,2025-05-22,FCL-1011,BP-30041,18,unit,B-2025-64308,accepted,BIN-02,posted
RCV-2025-00571,PO-2025-00022,1,2025-05-19,FCL-1025,BP-30062,8,kit,B-2025-85302,accepted,BIN-39,posted
RCV-2025-00572,PO-2025-00023,1,2025-06-03,FCL-1016,BP-30020,17,case,B-2025-39910,accepted,BIN-28,posted
RCV-2025-00573,PO-2025-00024,1,2025-05-25,FCL-1029,BP-30012,7,sealed_lot,B-2025-68812,accepted,BIN-16,posted
RCV-2025-00574,PO-2025-00025,1,2025-06-06,FCL-1015,BP-30028,1,service,B-2025-01891,accepted,BIN-33,posted
RCV-2025-00575,PO-2025-00026,1,2025-05-21,FCL-1003,BP-30013,4,unit,B-2025-71102,accepted,BIN-31,posted
RCV-2025-00576,PO-2025-00027,1,2025-05-24,FCL-1007,BP-30078,45,case,B-2025-58192,accepted,BIN-15,posted
RCV-2025-00577,PO-2025-00028,1,2025-05-27,FCL-1011,BP-30059,49,case,B-2025-24196,accepted,BIN-32,posted
RCV-2025-00578,PO-2025-00029,1,2025-06-04,FCL-1006,BP-30022,3,sealed_lot,B-2025-25683,accepted,BIN-18,posted
RCV-2025-00579,PO-2025-00030,1,2025-05-28,FCL-1029,BP-30009,20,kit,B-2025-37823,accepted,BIN-40,posted
RCV-2025-00580,PO-2025-00031,1,2025-05-25,FCL-1019,BP-30062,14,unit,B-2025-97317,accepted,BIN-15,posted
RCV-2025-00581,PO-2025-00032,1,2025-06-06,FCL-1011,BP-30053,33,pack,B-2025-64921,accepted,BIN-03,posted
RCV-2025-00582,PO-2025-00033,1,2025-06-15,FCL-1023,BP-30015,87,case,B-2025-48030,accepted,BIN-15,posted
RCV-2025-00583,PO-2025-00034,1,2025-06-06,FCL-1030,BP-30033,1,contract,B-2025-69581,accepted,BIN-37,posted
RCV-2025-00584,PO-2025-00036,1,2025-06-01,FCL-1010,BP-30001,64,case,B-2025-01544,accepted,BIN-29,posted
RCV-2025-00585,PO-2025-00037,1,2025-05-28,FCL-1019,BP-30078,1,service,B-2025-47991,accepted,BIN-41,posted
RCV-2025-00586,PO-2025-00038,1,2025-05-31,FCL-1020,BP-30012,0.94,service,B-2025-24746,accepted,BIN-26,posted
RCV-2025-00587,PO-2025-00039,1,2025-06-12,FCL-1016,BP-30072,55,case,B-2025-26162,accepted,BIN-08,posted
RCV-2025-00588,PO-2025-00040,1,2025-05-24,FCL-1011,BP-30034,51,case,B-2025-84523,accepted,BIN-20,posted
RCV-2025-00589,PO-2025-00041,1,2025-06-21,FCL-1009,BP-30039,0.78,service,B-2025-29804,accepted,BIN-23,posted
RCV-2025-00590,PO-2025-00042,1,2025-06-03,FCL-1016,BP-30042,4,unit,B-2025-57126,accepted,BIN-34,posted
RCV-2025-00591,PO-2025-00043,1,2025-06-21,FCL-1011,BP-30056,10,unit,B-2025-75548,accepted,BIN-07,posted
RCV-2025-00592,PO-2025-00044,1,2025-06-09,FCL-1020,BP-30044,1,service,B-2025-23282,accepted,BIN-07,posted
RCV-2025-00593,PO-2025-00045,1,2025-06-20,FCL-1019,BP-30078,25.94,pack,B-2025-24902,accepted,BIN-11,posted
RCV-2025-00594,PO-2025-00046,1,2025-06-26,FCL-1011,BP-30039,43,pallet,B-2025-60868,accepted,BIN-42,posted
RCV-2025-00595,PO-2025-00047,1,2025-06-12,FCL-1007,BP-30018,45,case,B-2025-17404,accepted,BIN-07,posted
RCV-2025-00596,PO-2025-00048,1,2025-06-01,FCL-1010,BP-30058,31.67,pack,B-2025-67653,accepted,BIN-40,posted
RCV-2025-00597,PO-2025-00049,1,2025-06-03,FCL-1010,BP-30009,1,service,B-2025-96582,accepted,BIN-17,posted
RCV-2025-00598,PO-2025-00050,1,2025-06-20,FCL-1007,BP-30017,55,pack,B-2025-06362,conditional,BIN-31,posted
RCV-2025-00599,PO-2025-00051,1,2025-05-30,FCL-1020,BP-30032,24,unit,B-2025-67225,accepted,BIN-09,posted
RCV-2025-00600,PO-2025-00052,1,2025-06-23,FCL-1011,BP-30030,16,pallet,B-2025-23399,accepted,BIN-03,posted
RCV-2025-00601,PO-2025-00053,1,2025-06-01,FCL-1003,BP-30047,60,case,B-2025-04421,accepted,BIN-08,posted
RCV-2025-00602,PO-2025-00054,1,2025-06-25,FCL-1014,BP-30077,26.73,case,B-2025-88694,accepted,BIN-06,posted
RCV-2025-00603,PO-2025-00055,1,2025-05-30,FCL-1010,BP-30057,2,unit,B-2025-37632,held,BIN-40,quality_hold
RCV-2025-00604,PO-2025-00056,1,2025-06-13,FCL-1011,BP-30017,37,pack,B-2025-53639,,BIN-15,posted
RCV-2025-00605,PO-2025-00057,1,2025-06-17,FCL-1011,BP-30028,13,case,B-2025-59163,accepted,BIN-05,posted
RCV-2025-00606,PO-2025-00059,1,2025-06-22,FCL-1025,BP-30007,15,unit,B-2025-69961,accepted,BIN-34,posted
RCV-2025-00607,PO-2025-00060,1,2025-06-08,FCL-1019,BP-30078,"53,3",case,B-2025-36562,accepted,BIN-32,posted
RCV-2025-00608,PO-2025-00061,1,2025-06-28,FCL-1011,BP-30056,1,service,B-2025-42727,accepted,BIN-12,posted
RCV-2025-00609,PO-2025-00062,1,2025-06-30,FCL-1020,BP-30028,21,pallet,B-2025-90726,accepted,BIN-07,posted
RCV-2025-00610,PO-2025-00063,1,30/06/2025,FCL-1014,BP-30055,24,case,B-2025-90528,accepted,BIN-26,posted
RCV-2022-00319,PO-2022-00007,1,2022-02-22,FCL-1020,BP-30026,30,pallet,B-2022-05211,accepted,BIN-42,posted
RCV-2016-00036,PO-2016-00010,1,2016-04-13,FCL-1010,BP-30054,6,case,B-2016-87541,accepted,BIN-22,posted
