shipment_number,shipment_leg,dispatch_time,arrival_time,sender_partner_code,receiver_partner_code,origin_facility_code,destination_facility_code,carrier_partner_code,item_category,declared_quantity,declared_unit,temperature_control_class,authorization_class,declared_purpose,shipment_status,dispatch_year,dispatch_month,transit_hours
SHP-2022-00012,1,2022-02-10 09:00:00,2022-02-11 01:00:00,BP-30001,BP-30054,FCL-1025,FCL-1007,BP-30020,monitoring_equipment,20,kit,ambient,ordinary,scheduled stock transfer,delivered,2022,2,16.0
SHP-2022-00013,1,2022-02-10 13:00:00,2022-02-12 17:00:00,BP-30066,BP-30036,FCL-1003,FCL-1030,BP-30015,cold_storage_equipment,17,unit,ambient,expedited,agricultural distribution,delivered,2022,2,52.0
SHP-2022-00014,1,2022-02-11 13:00:00,2022-02-15 01:00:00,BP-30023,BP-30048,FCL-1002,FCL-1011,BP-30078,laboratory_material,48,pack,ambient,ordinary,scheduled stock transfer,delivered,2022,2,84.0
SHP-2022-00015,1,2022-02-12 10:00:00,2022-02-13 17:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30025,transport_service,1,service,ambient,ordinary,scheduled stock transfer,delivered,2022,2,31.0
SHP-2022-00016,1,2022-02-14 10:00:00,2022-02-16 14:00:00,BP-30049,BP-30071,FCL-1002,FCL-1011,BP-30015,office_supply,58,case,ambient,ordinary,laboratory delivery,delivered,2022,2,52.0
SHP-2022-00017,1,2022-02-16 14:00:00,2022-02-18 15:00:00,BP-30073,BP-30078,FCL-1019,FCL-1011,BP-30031,protective_equipment,3,case,ambient,ordinary,agricultural distribution,delivered,2022,2,49.0
SHP-2022-00018,1,2022-02-18 09:00:00,2022-02-19 22:00:00,BP-30056,BP-30078,FCL-1020,FCL-1020,BP-30047,biological_sample,7,sealed_lot,2-8c,expedited,environmental and wildlife reference materials,delivered,2022,2,37.0
SHP-2022-00019,1,2022-02-18 13:00:00,2022-02-20 06:00:00,BP-30002,BP-30063,FCL-1030,FCL-1025,BP-30025,medical_consumables,63,case,2-8c,ordinary,field programme support,delivered,2022,2,41.0
SHP-2022-00020,1,2022-02-19 09:00:00,2022-02-22 23:00:00,BP-30079,BP-30078,FCL-1022,FCL-1011,BP-30060,office_supply,84,case,ambient,restricted,field programme support,delivered,2022,2,86.0
SHP-2022-00021,1,2022-02-19 13:00:00,2022-02-20 15:00:00,BP-30033,BP-30016,FCL-1013,FCL-1030,BP-30078,agricultural_equipment,3,unit,ambient,ordinary,field programme support,delivered,2022,2,26.0
SHP-2022-00022,1,2022-02-19 17:00:00,2022-02-20 13:00:00,BP-30063,BP-30044,FCL-1025,FCL-1029,BP-30025,protective_equipment,71,case,ambient,ordinary,laboratory delivery,delivered,2022,2,20.0
SHP-2022-00023,1,2022-02-22 10:00:00,2022-02-23 06:00:00,BP-30020,BP-30065,FCL-1001,FCL-1014,BP-30042,agricultural_equipment,5,unit,ambient,expedited,facility replenishment,delivered,2022,2,20.0
SHP-2022-00024,1,2022-02-22 16:00:00,2022-02-26 04:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30031,monitoring_equipment,20,kit,ambient,ordinary,agricultural distribution,delivered,2022,2,84.0
SHP-2022-00025,1,2022-02-23 08:00:00,2022-02-23 14:00:00,BP-30046,BP-30079,FCL-1010,FCL-1022,BP-30031,office_supply,2,case,ambient,ordinary,laboratory delivery,delivered,2022,2,6.0
SHP-2022-00026,1,2022-02-23 16:00:00,2022-02-25 11:00:00,BP-30009,BP-30040,FCL-1010,FCL-1015,BP-30031,protective_equipment,58,case,ambient,ordinary,laboratory delivery,delivered,2022,2,43.0
SHP-2022-00027,1,2022-02-24 15:00:00,2022-02-27 11:00:00,BP-30078,BP-30009,FCL-1011,FCL-1010,BP-30015,other,8,unit,ambient,ordinary,scheduled stock transfer,delivered,2022,2,68.0
SHP-2022-00028,1,2022-03-07 09:00:00,2022-03-10 20:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30031,refrigeration_service,1,service,ambient,expedited,scheduled stock transfer,delivered,2022,3,83.0
SHP-2022-00029,1,2022-04-07 09:00:00,2022-04-08 06:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,86,case,2-8c,expedited,temperature-controlled clinical programme delivery,delivered,2022,4,21.0
SHP-2022-00030,1,2022-04-16 15:00:00,2022-04-18 03:00:00,BP-30041,BP-30009,FCL-1008,FCL-1010,BP-30042,communication_service,1,service,ambient,ordinary,field programme support,delayed,2022,4,36.0
SHP-2022-00031,1,2022-07-23 18:00:00,2022-07-24 04:00:00,BP-30068,BP-30030,FCL-1020,FCL-1018,BP-30055,medical_consumables,46,case,2-8c,ordinary,field programme support,delivered,2022,7,10.0
SHP-2022-00032,1,2022-09-13 14:00:00,2022-09-17 01:00:00,BP-30050,BP-30073,FCL-1028,FCL-1019,BP-30015,agricultural_equipment,9,unit,ambient,expedited,field programme support,delivered,2022,9,83.0
SHP-2022-00033,1,2022-10-02 05:00:00,2022-10-04 21:00:00,BP-30033,BP-30056,FCL-1013,FCL-1019,BP-30055,other,16,unit,ambient,ordinary,scheduled stock transfer,returned,2022,10,64.0
SHP-2022-00034,1,2022-10-04 17:00:00,2022-10-06 19:00:00,BP-30070,BP-30077,FCL-1019,FCL-1007,BP-30060,transport_service,1,service,ambient,ordinary,customer distribution,delivered,2022,10,50.0
SHP-2022-00035,1,2022-10-05 10:00:00,2022-10-05 20:00:00,BP-30028,BP-30031,FCL-1020,FCL-1023,BP-30047,cold_storage_equipment,3,unit,ambient,ordinary,facility replenishment,delivered,2022,10,10.0
SHP-2022-00036,1,2022-10-07 08:00:00,2022-10-09 02:00:00,BP-30053,BP-30004,FCL-1030,FCL-1029,BP-30055,consulting_service,1,service,ambient,ordinary,field programme support,delivered,2022,10,42.0
SHP-2022-00037,1,2022-10-07 16:00:00,2022-10-08 17:00:00,BP-30046,BP-30078,FCL-1010,FCL-1011,BP-30042,medical_consumables,22,case,2-8c,ordinary,field programme support,delivered,2022,10,25.0
SHP-2022-00038,1,2022-10-11 09:00:00,2022-10-12 20:00:00,BP-30078,BP-30050,FCL-1011,FCL-1028,BP-30060,laboratory_material,32,pack,ambient,ordinary,agricultural distribution,delivered,2022,10,35.0
SHP-2022-00039,1,2022-10-12 08:00:00,2022-10-15 17:00:00,BP-30049,BP-30078,FCL-1002,FCL-1011,BP-30042,monitoring_equipment,8,kit,ambient,ordinary,facility replenishment,delivered,2022,10,81.0
SHP-2022-00040,1,2022-10-12 10:00:00,2022-10-12 21:00:00,BP-30063,BP-30033,FCL-1025,FCL-1013,BP-30020,communication_service,1,service,ambient,ordinary,laboratory delivery,delivered,2022,10,11.0
SHP-2022-00041,1,2022-10-12 15:00:00,2022-10-13 23:00:00,BP-30009,BP-30078,FCL-1010,FCL-1011,BP-30015,consulting_service,1,service,ambient,ordinary,facility replenishment,delivered,2022,10,32.0
SHP-2022-00042,1,2022-10-12 18:00:00,,BP-30074,BP-30064,FCL-1015,FCL-1010,BP-30025,monitoring_equipment,25,kit,ambient,ordinary,customer distribution,in_transit,2022,10,
SHP-2022-00043,1,2022-10-13 10:00:00,2022-10-14 06:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30031,monitoring_equipment,29,kit,ambient,ordinary,customer distribution,delayed,2022,10,20.0
SHP-2022-00044,1,2022-10-13 10:00:00,2022-10-16 07:00:00,BP-30016,BP-30072,FCL-1030,FCL-1024,BP-30060,medical_equipment,24,unit,ambient,restricted,field programme support,delivered,2022,10,69.0
SHP-2022-00045,1,2022-10-13 12:00:00,2022-10-16 09:00:00,BP-30054,BP-30063,FCL-1007,FCL-1025,BP-30055,legal_service,1,service,ambient,restricted,field programme support,delivered,2022,10,69.0
SHP-2022-00046,1,2022-10-14 07:00:00,2022-10-14 22:00:00,BP-30060,BP-30052,FCL-1009,FCL-1011,BP-30060,medical_equipment,14,unit,ambient,emergency,customer distribution,delivered,2022,10,15.0
SHP-2022-00047,1,2022-10-15 05:00:00,2022-10-17 06:00:00,BP-30077,BP-30047,FCL-1007,FCL-1016,BP-30078,laboratory_material,5,pack,ambient,ordinary,agricultural distribution,delivered,2022,10,49.0
SHP-2022-00048,1,2022-10-15 09:00:00,2022-10-16 08:00:00,BP-30024,BP-30006,FCL-1016,FCL-1019,BP-30031,legal_service,1,service,ambient,expedited,scheduled stock transfer,delivered,2022,10,23.0
SHP-2022-00049,1,2022-10-15 12:00:00,2022-10-19 08:00:00,BP-30009,BP-30030,FCL-1010,FCL-1018,BP-30031,transport_service,1,service,ambient,ordinary,laboratory delivery,delivered,2022,10,92.0
SHP-2022-00050,1,2022-10-17 05:00:00,,BP-30046,BP-30073,FCL-1010,FCL-1019,BP-30042,other,25,unit,ambient,ordinary,field programme support,in_transit,2022,10,
SHP-2022-00051,1,2022-10-17 07:00:00,2022-10-19 05:00:00,BP-30012,BP-30029,FCL-1020,FCL-1004,BP-30047,agricultural_product,6,pallet,ambient,expedited,scheduled stock transfer,delivered,2022,10,46.0
SHP-2022-00052,1,2022-10-17 08:00:00,2022-10-19 16:00:00,BP-30010,BP-30055,FCL-1016,FCL-1010,BP-30025,research_contract,1,contract,ambient,ordinary,facility replenishment,delivered,2022,10,56.0
SHP-2022-00053,1,2022-10-18 12:00:00,2022-10-22 09:00:00,BP-30073,BP-30066,FCL-1019,FCL-1003,BP-30047,agricultural_product,30,pallet,ambient,ordinary,field programme support,delivered,2022,10,93.0
SHP-2022-00054,1,2022-10-19 16:00:00,2022-10-20 13:00:00,BP-30027,BP-30009,FCL-1021,FCL-1010,BP-30047,agricultural_product,3,pallet,ambient,ordinary,field programme support,delivered,2022,10,21.0
SHP-2022-00055,1,2022-10-22 09:00:00,2022-10-22 19:00:00,BP-30033,BP-30052,FCL-1013,FCL-1011,BP-30055,laboratory_material,36,pack,ambient,expedited,facility replenishment,delivered,2022,10,10.0
SHP-2022-00056,1,2022-10-22 11:00:00,2022-10-25 19:00:00,BP-30061,BP-30068,FCL-1030,FCL-1020,BP-30055,protective_equipment,77,case,ambient,restricted,field programme support,delivered,2022,10,80.0
SHP-2022-00057,1,2022-10-22 14:00:00,2022-10-23 21:00:00,BP-30044,BP-30070,FCL-1029,FCL-1019,BP-30060,office_supply,40,case,ambient,emergency,field programme support,delivered,2022,10,31.0
SHP-2022-00058,1,2022-10-22 18:00:00,2022-10-25 07:00:00,BP-30055,BP-30033,FCL-1010,FCL-1013,BP-30015,office_supply,62,case,ambient,ordinary,facility replenishment,delivered,2022,10,61.0
SHP-2022-00059,1,2022-10-24 18:00:00,2022-10-27 06:00:00,BP-30080,BP-30060,FCL-1020,FCL-1009,BP-30020,office_supply,40,case,ambient,ordinary,laboratory delivery,delivered,2022,10,60.0
SHP-2022-00060,1,2022-12-02 10:00:00,2022-12-06 04:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30015,biological_sample,18,sealed_lot,2-8c,restricted,scheduled stock transfer,delivered,2022,12,90.0
SHP-2022-00061,1,2022-12-11 18:00:00,,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30078,medical_consumables,6,case,2-8c,ordinary,laboratory delivery,in_transit,2022,12,
SHP-2023-00001,1,2023-03-14 10:00:00,2023-03-17 12:00:00,BP-30039,BP-30054,FCL-1029,FCL-1007,BP-30031,agricultural_product,28,pallet,ambient,restricted,facility replenishment,delivered,2023,3,74.0
SHP-2023-00002,1,2023-03-23 08:00:00,2023-03-25 02:00:00,BP-30003,BP-30027,FCL-1015,FCL-1021,BP-30055,grant,1,grant,ambient,expedited,facility replenishment,delivered,2023,3,42.0
SHP-2023-00003,1,2023-03-29 09:00:00,2023-03-31 23:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,medical_consumables,64,case,2-8c,restricted,temperature-controlled clinical programme delivery,delivered,2023,3,62.0
SHP-2023-00004,1,2023-04-01 18:00:00,2023-04-05 12:00:00,BP-30068,BP-30077,FCL-1020,FCL-1007,BP-30042,monitoring_equipment,10,kit,ambient,ordinary,laboratory delivery,delivered,2023,4,90.0
SHP-2023-00005,1,2023-04-02 08:00:00,2023-04-04 11:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30031,consulting_service,1,service,ambient,ordinary,agricultural distribution,delivered,2023,4,51.0
SHP-2023-00006,1,2023-04-02 12:00:00,2023-04-05 00:00:00,BP-30018,BP-30045,FCL-1003,FCL-1016,BP-30025,monitoring_equipment,15,kit,ambient,ordinary,scheduled stock transfer,delivered,2023,4,60.0
SHP-2023-00007,1,2023-04-02 13:00:00,2023-04-02 20:00:00,BP-30055,BP-30036,FCL-1010,FCL-1030,BP-30025,monitoring_equipment,9,kit,ambient,ordinary,customer distribution,delivered,2023,4,7.0
SHP-2023-00008,1,2023-04-03 18:00:00,2023-04-04 03:00:00,BP-30071,BP-30032,FCL-1011,FCL-1019,BP-30078,biological_sample,13,sealed_lot,2-8c,emergency,customer distribution,delivered,2023,4,9.0
SHP-2023-00009,1,2023-04-04 12:00:00,2023-04-04 20:00:00,BP-30063,BP-30067,FCL-1025,FCL-1023,BP-30015,cold_storage_equipment,24,unit,ambient,expedited,agricultural distribution,delivered,2023,4,8.0
SHP-2023-00010,1,2023-04-05 18:00:00,2023-04-07 19:00:00,BP-30078,BP-30033,FCL-1011,FCL-1013,BP-30055,agricultural_equipment,2,unit,ambient,expedited,scheduled stock transfer,delivered,2023,4,49.0
SHP-2023-00011,1,2023-04-06 16:00:00,2023-04-07 09:00:00,BP-30065,BP-30077,FCL-1014,FCL-1007,BP-30031,cold_storage_equipment,8,unit,ambient,ordinary,facility replenishment,delivered,2023,4,17.0
SHP-2023-00012,1,2023-04-07 07:00:00,2023-04-11 00:00:00,BP-30009,BP-30079,FCL-1010,FCL-1022,BP-30015,cold_storage_equipment,14,unit,ambient,emergency,customer distribution,delivered,2023,4,89.0
SHP-2023-00013,1,2023-04-07 16:00:00,2023-04-10 04:00:00,BP-30042,BP-30031,FCL-1015,FCL-1023,BP-30047,laboratory_material,34,pack,ambient,ordinary,facility replenishment,delayed,2023,4,60.0
SHP-2023-00014,1,2023-04-08 05:00:00,2023-04-11 10:00:00,BP-30052,BP-30011,FCL-1011,FCL-1012,BP-30078,protective_equipment,40,case,ambient,emergency,laboratory delivery,delivered,2023,4,77.0
SHP-2023-00015,1,2023-04-08 16:00:00,2023-04-10 11:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30060,medical_consumables,64,case,2-8c,ordinary,laboratory delivery,delivered,2023,4,43.0
SHP-2023-00016,1,2023-04-09 10:00:00,2023-04-11 22:00:00,BP-30080,BP-30075,FCL-1020,FCL-1027,BP-30042,protective_equipment,83,case,ambient,ordinary,facility replenishment,delayed,2023,4,60.0
SHP-2023-00017,1,2023-04-09 11:00:00,2023-04-10 18:00:00,BP-30031,BP-30011,FCL-1023,FCL-1012,BP-30078,cold_storage_equipment,24,unit,ambient,restricted,laboratory delivery,delivered,2023,4,31.0
SHP-2023-00018,1,2023-04-09 13:00:00,2023-04-10 10:00:00,BP-30035,BP-30078,FCL-1009,FCL-1011,BP-30031,communication_service,1,service,ambient,expedited,customer distribution,delivered,2023,4,21.0
SHP-2023-00019,1,2023-04-12 05:00:00,2023-04-14 06:00:00,BP-30062,BP-30001,FCL-1012,FCL-1025,BP-30031,agricultural_product,36,pallet,ambient,restricted,laboratory delivery,delivered,2023,4,49.0
SHP-2023-00020,1,2023-04-13 05:00:00,2023-04-14 16:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30020,refrigeration_service,1,service,ambient,restricted,customer distribution,delivered,2023,4,35.0
SHP-2023-00021,1,2023-04-13 06:00:00,2023-04-13 13:00:00,BP-30062,BP-30043,FCL-1012,FCL-1010,BP-30020,biological_sample,16,sealed_lot,2-8c,ordinary,laboratory delivery,delivered,2023,4,7.0
SHP-2023-00022,1,2023-04-15 11:00:00,2023-04-18 07:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30060,biological_sample,6,sealed_lot,2-8c,ordinary,field programme support,delivered,2023,4,68.0
SHP-2023-00023,1,2023-04-16 17:00:00,2023-04-17 16:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30047,laboratory_material,42,pack,ambient,ordinary,laboratory delivery,delivered,2023,4,23.0
SHP-2023-00024,1,2023-04-18 13:00:00,2023-04-21 20:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30060,monitoring_equipment,14,kit,ambient,ordinary,laboratory delivery,delayed,2023,4,79.0
SHP-2023-00025,1,2023-04-19 06:00:00,2023-04-22 13:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30025,laboratory_material,23,pack,ambient,ordinary,field programme support,delivered,2023,4,79.0
SHP-2023-00026,1,2023-04-21 08:00:00,2023-04-22 21:00:00,BP-30011,BP-30004,FCL-1012,FCL-1029,BP-30031,monitoring_equipment,6,kit,ambient,expedited,field programme support,delayed,2023,4,37.0
SHP-2023-00027,1,2023-04-21 09:00:00,2023-04-22 00:00:00,BP-30023,BP-30015,FCL-1002,FCL-1006,BP-30078,medical_consumables,83,case,2-8c,ordinary,scheduled stock transfer,delivered,2023,4,15.0
SHP-2023-00028,1,2023-04-21 16:00:00,2023-04-24 06:00:00,BP-30073,BP-30047,FCL-1019,FCL-1016,BP-30015,grant,1,grant,ambient,emergency,agricultural distribution,delivered,2023,4,62.0
SHP-2023-00029,1,2023-04-22 09:00:00,2023-04-25 02:00:00,BP-30030,BP-30052,FCL-1018,FCL-1011,BP-30015,medical_consumables,37,case,2-8c,ordinary,laboratory delivery,delivered,2023,4,65.0
SHP-2023-00030,1,2023-04-22 11:00:00,2023-04-24 04:00:00,BP-30041,BP-30001,FCL-1008,FCL-1025,BP-30020,consulting_service,1,service,ambient,ordinary,scheduled stock transfer,delivered,2023,4,41.0
SHP-2023-00031,1,2023-04-22 12:00:00,2023-04-22 22:00:00,BP-30079,BP-30018,FCL-1022,FCL-1003,BP-30042,cold_storage_equipment,19,unit,ambient,ordinary,laboratory delivery,delivered,2023,4,10.0
SHP-2023-00032,1,2023-04-22 16:00:00,2023-04-23 17:00:00,BP-30035,BP-30023,FCL-1009,FCL-1002,BP-30025,grant,1,grant,ambient,ordinary,agricultural distribution,delivered,2023,4,25.0
SHP-2023-00033,1,2023-04-22 18:00:00,2023-04-25 21:00:00,BP-30010,BP-30018,FCL-1016,FCL-1003,BP-30025,protective_equipment,68,case,ambient,ordinary,field programme support,delivered,2023,4,75.0
SHP-2023-00034,1,2023-04-23 05:00:00,2023-04-27 02:00:00,BP-30036,BP-30060,FCL-1030,FCL-1009,BP-30025,monitoring_equipment,24,kit,ambient,ordinary,facility replenishment,delivered,2023,4,93.0
SHP-2023-00035,1,2023-05-30 05:00:00,2023-05-31 13:00:00,BP-30029,BP-30027,FCL-1004,FCL-1021,BP-30055,legal_service,1,service,ambient,ordinary,facility replenishment,delayed,2023,5,32.0
SHP-2023-00036,1,2023-06-24 17:00:00,2023-06-25 16:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30020,research_contract,1,contract,ambient,emergency,agricultural distribution,delayed,2023,6,23.0
SHP-2023-00037,1,2023-09-01 05:00:00,2023-09-03 22:00:00,BP-30028,BP-30071,FCL-1020,FCL-1011,BP-30042,agricultural_product,25,pallet,ambient,ordinary,field programme support,delivered,2023,9,65.0
SHP-2023-00038,1,2023-09-01 15:00:00,2023-09-03 19:00:00,BP-30030,BP-30068,FCL-1018,FCL-1020,BP-30060,communication_service,1,service,ambient,restricted,agricultural distribution,delivered,2023,9,52.0
SHP-2023-00039,1,2023-09-02 11:00:00,2023-09-04 23:00:00,BP-30032,BP-30019,FCL-1019,FCL-1010,BP-30031,communication_service,1,service,ambient,ordinary,laboratory delivery,delivered,2023,9,60.0
SHP-2023-00040,1,2023-09-02 11:00:00,2023-09-03 09:00:00,BP-30032,BP-30079,FCL-1019,FCL-1022,BP-30047,refrigeration_service,1,service,ambient,ordinary,agricultural distribution,delivered,2023,9,22.0
SHP-2023-00041,1,2023-09-03 12:00:00,2023-09-06 17:00:00,BP-30053,BP-30046,FCL-1030,FCL-1010,BP-30078,medical_consumables,89,case,2-8c,ordinary,scheduled stock transfer,delivered,2023,9,77.0
SHP-2023-00042,1,2023-09-03 15:00:00,2023-09-06 20:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30042,cold_storage_equipment,14,unit,ambient,ordinary,field programme support,delivered,2023,9,77.0
SHP-2023-00043,1,2023-09-03 15:00:00,2023-09-07 00:00:00,BP-30041,BP-30056,FCL-1008,FCL-1019,BP-30042,medical_equipment,8,unit,ambient,ordinary,facility replenishment,delivered,2023,9,81.0
SHP-2023-00044,1,2023-09-05 05:00:00,2023-09-07 21:00:00,BP-30078,BP-30006,FCL-1011,FCL-1019,BP-30042,medical_consumables,3,case,2-8c,emergency,field programme support,delivered,2023,9,64.0
SHP-2023-00045,1,2023-09-05 12:00:00,2023-09-07 19:00:00,BP-30046,BP-30060,FCL-1010,FCL-1009,BP-30078,laboratory_material,44,pack,ambient,ordinary,customer distribution,delivered,2023,9,55.0
SHP-2023-00046,1,2023-09-05 13:00:00,2023-09-06 17:00:00,BP-30017,BP-30042,FCL-1010,FCL-1015,BP-30015,monitoring_equipment,4,kit,ambient,ordinary,customer distribution,delivered,2023,9,28.0
SHP-2023-00047,1,2023-09-06 13:00:00,,BP-30066,BP-30078,FCL-1003,FCL-1011,BP-30031,biological_sample,7,sealed_lot,2-8c,ordinary,customer distribution,in_transit,2023,9,
SHP-2023-00048,1,2023-09-06 13:00:00,2023-09-09 05:00:00,BP-30037,BP-30033,FCL-1017,FCL-1013,BP-30042,medical_consumables,8,case,2-8c,restricted,customer distribution,delivered,2023,9,64.0
SHP-2023-00049,1,2023-09-06 17:00:00,2023-09-08 12:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30078,agricultural_product,9,pallet,ambient,ordinary,agricultural distribution,delivered,2023,9,43.0
SHP-2023-00050,1,2023-09-07 14:00:00,2023-09-09 05:00:00,BP-30033,BP-30074,FCL-1013,FCL-1015,BP-30015,refrigeration_service,1,service,ambient,restricted,field programme support,delivered,2023,9,39.0
SHP-2023-00051,1,2023-09-08 18:00:00,2023-09-12 13:00:00,BP-30016,BP-30068,FCL-1030,FCL-1020,BP-30047,transport_service,1,service,ambient,expedited,field programme support,delivered,2023,9,91.0
SHP-2023-00052,1,2023-09-09 08:00:00,2023-09-12 21:00:00,BP-30021,BP-30043,FCL-1007,FCL-1010,BP-30015,transport_service,1,service,ambient,ordinary,customer distribution,delivered,2023,9,85.0
SHP-2023-00053,1,2023-09-09 14:00:00,,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30042,communication_service,1,service,ambient,ordinary,facility replenishment,in_transit,2023,9,
SHP-2023-00054,1,2023-09-12 07:00:00,2023-09-13 21:00:00,BP-30079,BP-30061,FCL-1022,FCL-1030,BP-30031,medical_equipment,21,unit,ambient,expedited,scheduled stock transfer,delivered,2023,9,38.0
SHP-2023-00055,1,2023-09-12 09:00:00,2023-09-15 23:00:00,BP-30025,BP-30017,FCL-1026,FCL-1010,BP-30060,communication_service,1,service,ambient,restricted,customer distribution,delivered,2023,9,86.0
SHP-2023-00056,1,2023-09-12 09:00:00,2023-09-13 16:00:00,BP-30056,BP-30051,FCL-1019,FCL-1005,BP-30015,biological_sample,6,sealed_lot,2-8c,ordinary,facility replenishment,delivered,2023,9,31.0
SHP-2023-00057,1,2023-09-13 11:00:00,2023-09-16 21:00:00,BP-30068,BP-30079,FCL-1020,FCL-1022,BP-30055,monitoring_equipment,25,kit,ambient,ordinary,facility replenishment,delivered,2023,9,82.0
SHP-2023-00058,1,2023-09-13 17:00:00,2023-09-16 00:00:00,BP-30061,BP-30066,FCL-1030,FCL-1003,BP-30078,agricultural_product,1,pallet,ambient,ordinary,scheduled stock transfer,delivered,2023,9,55.0
SHP-2023-00059,1,2023-09-14 06:00:00,2023-09-15 00:00:00,BP-30064,BP-30042,FCL-1010,FCL-1015,BP-30055,cold_storage_equipment,17,unit,ambient,emergency,field programme support,delivered,2023,9,18.0
SHP-2023-00060,1,2023-09-15 09:00:00,2023-09-18 10:00:00,BP-30056,BP-30078,FCL-1030,FCL-1024,BP-30047,biological_sample,2,sealed_lot,2-8c,restricted,environmental and wildlife reference materials,delivered,2023,9,73.0
SHP-2023-00061,1,2023-09-15 11:00:00,2023-09-18 09:00:00,BP-30015,BP-30014,FCL-1006,FCL-1029,BP-30031,agricultural_product,47,pallet,frozen,ordinary,agricultural distribution,delivered,2023,9,70.0
SHP-2023-00062,1,2023-09-15 11:00:00,2023-09-18 20:00:00,BP-30076,BP-30078,FCL-1020,FCL-1011,BP-30078,agricultural_product,46,pallet,ambient,ordinary,field programme support,delivered,2023,9,81.0
SHP-2023-00063,1,2023-09-18 15:00:00,2023-09-21 09:00:00,BP-30010,BP-30080,FCL-1016,FCL-1020,BP-30042,refrigeration_service,1,service,ambient,ordinary,agricultural distribution,delayed,2023,9,66.0
SHP-2023-00064,1,2023-09-18 18:00:00,2023-09-20 19:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30078,medical_equipment,3,unit,ambient,ordinary,customer distribution,delivered,2023,9,49.0
SHP-2023-00065,1,2023-09-19 05:00:00,2023-09-19 15:00:00,BP-30035,BP-30042,FCL-1009,FCL-1015,BP-30042,protective_equipment,37,case,ambient,expedited,agricultural distribution,delivered,2023,9,10.0
SHP-2023-00066,1,2023-09-23 07:00:00,2023-09-24 16:00:00,BP-30006,BP-30051,FCL-1019,FCL-1005,BP-30025,laboratory_material,27,pack,ambient,ordinary,facility replenishment,delivered,2023,9,33.0
SHP-2023-00067,1,2023-09-23 10:00:00,2023-09-25 03:00:00,BP-30030,BP-30015,FCL-1018,FCL-1006,BP-30015,communication_service,1,service,ambient,emergency,field programme support,delivered,2023,9,41.0
SHP-2023-00068,1,2023-09-23 10:00:00,2023-09-24 16:00:00,BP-30072,BP-30033,FCL-1024,FCL-1013,BP-30047,refrigeration_service,1,service,ambient,ordinary,facility replenishment,delivered,2023,9,30.0
SHP-2023-00069,1,2023-10-16 16:00:00,2023-10-20 00:00:00,BP-30078,BP-30023,FCL-1011,FCL-1002,BP-30055,laboratory_material,30,pack,ambient,ordinary,facility replenishment,delivered,2023,10,80.0
SHP-2023-00070,1,2023-10-19 06:00:00,2023-10-20 01:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30042,medical_equipment,21,unit,ambient,restricted,agricultural distribution,delivered,2023,10,19.0
SHP-2023-00071,1,2023-11-10 09:00:00,2023-11-12 05:00:00,BP-30056,BP-30078,FCL-1019,FCL-1019,BP-30047,biological_sample,8,sealed_lot,2-8c,restricted,environmental and wildlife reference materials,delivered,2023,11,44.0
SHP-2023-00072,1,2023-11-22 11:00:00,2023-11-23 15:00:00,BP-30045,BP-30064,FCL-1016,FCL-1010,BP-30020,cold_storage_equipment,12,unit,ambient,ordinary,field programme support,delivered,2023,11,28.0
SHP-2023-00073,1,2023-11-26 06:00:00,2023-11-27 18:00:00,BP-30078,BP-30046,FCL-1011,FCL-1010,BP-30025,biological_sample,9,sealed_lot,2-8c,ordinary,agricultural distribution,delivered,2023,11,36.0
SHP-2024-00001,1,2024-01-01 17:00:00,2024-01-05 10:00:00,BP-30010,BP-30066,FCL-1016,FCL-1003,BP-30078,monitoring_equipment,28,kit,ambient,ordinary,field programme support,delivered,2024,1,89.0
SHP-2024-00002,1,2024-02-01 09:00:00,2024-02-03 05:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,medical_consumables,28,case,2-8c,restricted,temperature-controlled clinical programme delivery,delivered,2024,2,44.0
